Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4666.95it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: dense)...
[DENSE] Sample 209/1561 | F1: 0.41 | J: 1 | Rec: 0
[DENSE] Sample 210/1561 | F1: 0.84 | J: 1 | Rec: 1
[DENSE] Sample 211/1561 | F1: 0.40 | J: 1 | Rec: 1
[DENSE] Sample 212/1561 | F1: 0.13 | J: 0 | Rec: 0
[DENSE] Sample 213/1561 | F1: 0.53 | J: 0 | Rec: 0
[DENSE] Sample 214/1561 | F1: 0.75 | J: 1 | Rec: 1
[DENSE] Sample 215/1561 | F1: 0.20 | J: 0 | Rec: 0
[DENSE] Sample 216/1561 | F1: 0.74 | J: 1 | Rec: 1
[DENSE] Sample 217/1561 | F1: 0.16 | J: 0 | Rec: 0
[DENSE] Sample 218/1561 | F1: 0.15 | J: 0 | Rec: 0
[DENSE] Sample 219/1561 | F1: 0.31 | J: 1 | Rec: 0
[DENSE] Sample 220/1561 | F1: 0.29 | J: 1 | Rec: 0
[DENSE] Sample 221/1561 | F1: 0.64 | J: 1 | Rec: 1
[DENSE] Sample 225/1561 | F1: 0.19 | J: 0 | Rec: 0
[DENSE] Sample 224/1561 | F1: 0.31 | J: 1 | Rec: 1
[DENSE] Sample 228/1561 | F1: 0.12 | J: 0 | Rec: 0
[DENSE] Sample 222/1561 | F1: 0.56 | J: 1 | Rec: 0
[DENSE] Sample 230/1561 | F1: 0.14 | J: 0 | Rec: 0
[DENSE] Sample 229/1561 | F1: 0.58 | J: 1 | Rec: 1
[DENSE] Sample 227/1561 | F1: 0.33 | J: 0 | Rec: 0
[DENSE] Sample 226/1561 | F1: 0.17 | J: 0 | Rec: 0
[DENSE] Sample 223/1561 | F1: 0.16 | J: 0 | Rec: 0
[DENSE] Sample 231/1561 | F1: 0.18 | J: 1 | Rec: 0
[DENSE] Sample 232/1561 | F1: 0.21 | J: 0 | Rec: 1
[DENSE] Sample 233/1561 | F1: 0.44 | J: 0 | Rec: 1
[DENSE] Sample 234/1561 | F1: 0.23 | J: 0 | Rec: 0
