Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4257.16it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: hybrid)...
[HYBRID] Sample 260/1561 | F1: 0.55 | J: 1 | Rec: 1
[HYBRID] Sample 261/1561 | F1: 0.62 | J: 1 | Rec: 1
[HYBRID] Sample 262/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 263/1561 | F1: 0.36 | J: 1 | Rec: 1
[HYBRID] Sample 264/1561 | F1: 0.33 | J: 1 | Rec: 1
[HYBRID] Sample 265/1561 | F1: 0.33 | J: 1 | Rec: 1
[HYBRID] Sample 266/1561 | F1: 0.42 | J: 1 | Rec: 0
[HYBRID] Sample 267/1561 | F1: 0.48 | J: 1 | Rec: 1
[HYBRID] Sample 268/1561 | F1: 0.63 | J: 1 | Rec: 1
[HYBRID] Sample 269/1561 | F1: 0.56 | J: 1 | Rec: 1
[HYBRID] Sample 270/1561 | F1: 0.35 | J: 1 | Rec: 1
[HYBRID] Sample 271/1561 | F1: 0.47 | J: 1 | Rec: 1
[HYBRID] Sample 272/1561 | F1: 0.43 | J: 1 | Rec: 1
[HYBRID] Sample 273/1561 | F1: 0.55 | J: 1 | Rec: 1
[HYBRID] Sample 274/1561 | F1: 0.21 | J: 0 | Rec: 0
[HYBRID] Sample 275/1561 | F1: 0.48 | J: 0 | Rec: 1
[HYBRID] Sample 276/1561 | F1: 0.57 | J: 1 | Rec: 1
[HYBRID] Sample 277/1561 | F1: 0.44 | J: 1 | Rec: 0
[HYBRID] Sample 278/1561 | F1: 0.39 | J: 1 | Rec: 0
[HYBRID] Sample 279/1561 | F1: 0.53 | J: 1 | Rec: 1
[HYBRID] Sample 280/1561 | F1: 0.33 | J: 1 | Rec: 0
[HYBRID] Sample 281/1561 | F1: 0.68 | J: 1 | Rec: 1
[HYBRID] Sample 282/1561 | F1: 0.31 | J: 1 | Rec: 1
[HYBRID] Sample 283/1561 | F1: 0.34 | J: 1 | Rec: 0
[HYBRID] Sample 284/1561 | F1: 0.46 | J: 1 | Rec: 1
[HYBRID] Sample 285/1561 | F1: 0.55 | J: 1 | Rec: 1
[HYBRID] Sample 286/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 287/1561 | F1: 0.36 | J: 1 | Rec: 1
[HYBRID] Sample 288/1561 | F1: 0.48 | J: 1 | Rec: 1
[HYBRID] Sample 289/1561 | F1: 0.44 | J: 1 | Rec: 1
[HYBRID] Sample 290/1561 | F1: 0.48 | J: 1 | Rec: 0
[HYBRID] Sample 291/1561 | F1: 0.86 | J: 1 | Rec: 1
[HYBRID] Sample 292/1561 | F1: 0.64 | J: 1 | Rec: 1
[HYBRID] Sample 293/1561 | F1: 0.82 | J: 1 | Rec: 0
[HYBRID] Sample 294/1561 | F1: 0.85 | J: 1 | Rec: 1
[HYBRID] Sample 295/1561 | F1: 0.39 | J: 1 | Rec: 1
[HYBRID] Sample 296/1561 | F1: 0.27 | J: 1 | Rec: 1
[HYBRID] Sample 297/1561 | F1: 0.32 | J: 1 | Rec: 1
[HYBRID] Sample 298/1561 | F1: 0.26 | J: 0 | Rec: 0
[HYBRID] Sample 299/1561 | F1: 0.40 | J: 1 | Rec: 1
[HYBRID] Sample 300/1561 | F1: 0.63 | J: 1 | Rec: 1
[HYBRID] Sample 301/1561 | F1: 0.81 | J: 1 | Rec: 1
[HYBRID] Sample 302/1561 | F1: 0.54 | J: 1 | Rec: 1
[HYBRID] Sample 303/1561 | F1: 0.47 | J: 1 | Rec: 1
[HYBRID] Sample 304/1561 | F1: 0.36 | J: 1 | Rec: 1
[HYBRID] Sample 305/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 306/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 307/1561 | F1: 0.34 | J: 1 | Rec: 1
[HYBRID] Sample 308/1561 | F1: 0.53 | J: 1 | Rec: 1
[HYBRID] Sample 309/1561 | F1: 0.52 | J: 1 | Rec: 1
[HYBRID] Sample 310/1561 | F1: 0.59 | J: 0 | Rec: 0
